ID,CountryName,CountryID,PerRuralPop,PerAgLandArea,PerArabLandArea,PerAgEmploy,PerForestLand
1,Afghanistan,AFG,73.718,58.06757957,11.93007179,null,2.067824648
2,Angola,AGO,56.726,47.47734018,3.823427181,null,46.70762814
3,Albania,ALB,43.591,43.33211679,22.60583942,null,28.2620438
4,UnitedArabEmirates,ARE,14.734,4.572966507,0.477272727,null,3.820813397
5,Argentina,ARG,8.396,54.51804918,14.40109524,0.5,10.23221483
6,Armenia,ARM,37.188,59.08324552,15.75693713,37.5,11.64032315
7,Antarctica,ATA,null,null,null,null,null
8,FrenAnt,ATF,null,null,null,null,null
9,Australia,AUS,10.711,51.62715593,6.118393363,2.800000032,16.11848014
10,Austria,AUT,34.081,38.22163793,16.43129419,4.300000191,46.80787745
11,Azerbaijan,AZE,45.645,57.70454518,23.0176418,36.79999924,12.83282461
12,Burundi,BDI,88.239,79.16666667,42.83489097,null,10.21028037
13,Belgium,BEL,2.182,44.13804491,26.88243065,1.100000024,22.52575958
14,Benin,BEN,56.486,33.25647393,23.58992551,null,39.56190138
15,BurkinaFaso,BFA,70.976,44.95614035,21.8079922,null,20.20979532
16,Bangladesh,BGD,66.484,69.97003918,58.96391898,null,11.03787355
17,Bulgaria,BGR,26.374,46.01142225,30.84622943,6.900000095,34.74023581
18,Bahamas,BHS,17.199,1.398601399,0.799200799,3.700000048,51.44855145
19,BosniaandHerzegovina,BIH,60.384,42.1484375,19.6484375,null,42.67578125
20,Belarus,BLR,23.723,43.00428762,27.30997322,10.03333346,42.25420137
21,Belize,BLZ,55.876,7.014467339,3.375712407,null,60.5591115
22,Bolivia,BOL,31.893,34.77337764,3.938275024,null,51.35327241
23,Brazil,BRA,14.567,33.35767288,8.809300474,14.9333334,59.40197221
24,Brunei,BRN,23.113,2.732447818,0.82226439,0.600000024,72.10626186
25,Bhutan,BTN,62.102,13.63171288,2.628748328,59.53333282,71.49434635
26,Botswana,BWA,42.813,45.65489739,0.51817738,null,19.66827237
27,CentralAfricanRepublic,CAF,60.241,8.154354875,2.889338342,null,35.66214004
28,Canada,CAN,18.35,7.175557073,4.941179662,2.099999905,38.18204412
29,Switzerland,CHE,26.156,38.60967709,10.21864561,3.200000048,31.44549043
30,Chile,CHL,10.644,21.22437232,1.763376246,9.999999682,22.63870284
31,China,CHN,45.59,54.80841877,11.29643692,2.5,21.69686003
32,Coted'Ivoire,CIV,46.521,64.77987421,9.119496855,null,32.71132075
33,Cameroon,CMR,46.181,20.62575363,13.11586385,null,41.20073618
34,CongoDemRep.,COD,58.024,11.55686906,3.117119899,null,67.71451887
35,CongoRep,COG,35.043,31.11859444,1.571498292,null,65.53499268
36,Colombia,COL,23.839,40.39260928,1.455911071,16.29999924,52.80025837
37,CostaRica,CRI,24.085,35.58558559,4.543674109,13.39999994,52.20133177
38,Cuba,CUB,23.03,59.58064425,30.10167884,19.20000013,28.55155191
39,Ncyprus,CYN,null,null,null,null,null
40,Cyprus,CYP,32.981,11.7965368,8.98989899,3.900000095,18.69949495
41,CzechRepublic,CZE,26.981,54.62903017,40.87181306,2.700000048,34.45403664
42,Germany,DEU,24.906,47.90554886,34.03178844,1.299999952,32.74453936
43,Djibouti,DJI,22.738,73.4253667,0.086281277,null,0.241587575
44,Denmark,DNK,12.498,61.48951214,57.54261922,2.299999952,14.07353288
45,DominicanRepublic,DOM,21.939,48.67549669,16.55629139,14.5,38.97764901
46,Algeria,DZA,29.871,17.39553436,3.149686084,10.80000019,0.811675498
47,Ecuador,ECU,36.484,30.25446932,4.694261019,27.13333257,51.47400279
48,Egypt,EGY,56.931,3.778190768,2.804426809,28.10000038,0.071525441
49,Eritrea,ERI,77.807,75.16831683,6.831683168,null,15.08118812
50,Spain,ESP,20.645,53.86137822,25.04095287,4.199999809,36.62359714
51,Estonia,EST,32.378,22.78839349,14.8226783,3.900000095,52.68223638
52,Ethiopia,ETH,80.972,36.259,15.2194,30.13333225,12.3772
53,Finland,FIN,15.914,7.431965514,7.375146709,3.900000095,73.11198131
54,Fiji,FJI,46.646,23.26217843,9.031198686,null,54.87794198
55,FalklandIsland,FLK,null,null,null,null,null
56,France,FRA,20.711,52.54923232,33.39892555,2.799999952,30.40771912
57,Gabon,GAB,13.08,20.02561416,1.261303217,null,86.93289867
58,UnitedKingdom,GBR,17.655,71.30244286,25.54375233,1.100000024,12.78468979
59,Georgia,GEO,46.532,36.71607426,6.012375881,null,40.61591596
60,Ghana,GHA,46.608,68.99885734,20.68500776,44.70000076,40.66010372
61,Guinea,GIN,63.32,59.01025558,12.20901839,null,26.33892235
62,Gambia,GMB,40.985,59.7826087,43.80764163,31.5,47.74703557
63,Guinea-Bissau,GNB,51.45,57.9658606,10.6685633,null,71.19487909
64,EquatorialGuinea,GNQ,60.244,10.12477718,4.278074866,null,57.14081996
65,Greece,GRC,22.322,63.12645462,19.75433152,13,30.74786656
66,Greenland,GRL,13.955,0.574735047,0.002192715,4.599999905,0.000535997
67,Guatemala,GTM,48.885,34.72097798,9.958566629,34.19999949,34.0537514
68,Guyana,GUY,71.541,8.524257049,2.133604267,null,84.10464821
69,Honduras,HND,45.863,28.9123246,9.116096166,36.86666616,44.25775315
70,Croatia,HRV,41.344,23.26483202,15.96080534,8.699999809,34.32451751
71,Haiti,HTI,42.564,66.76342525,37.85679729,null,3.606676343
72,Hungary,HUN,29.229,58.9859715,48.58426304,4.599999905,22.70186678
73,Indonesia,IDN,46.997,31.46442036,12.97217331,34.29999924,51.37157272
74,India,IND,67.634,60.63520999,52.75198244,48.39999962,23.59311043
75,Ireland,IRL,37.048,64.98766149,16.18522282,6.099999905,10.698021
76,Iran,IRN,27.145,28.34484664,9.217401983,17.89999962,6.565337263
77,Iraq,IRQ,30.639,21.25161171,10.46732056,null,1.89952109
78,Iceland,ISL,5.958,18.67531172,1.212302577,4.199999809,0.451870324
79,Israel,ISR,7.924,24.04343808,13.49815157,1.100000024,7.319778189
80,Italy,ITA,31.179,46.33847828,23.41855352,3.5,31.05867954
81,Jamaica,JAM,45.444,40.99722992,11.08033241,17.96666718,31.05632502
82,Jordan,JOR,16.553,11.90132913,2.341368176,1.799999952,1.09822032
83,Japan,JPN,6.979,12.44513935,11.64605583,3.833333333,68.47408967
84,Kazakhstan,KAZ,46.71,80.37711598,10.85402082,25.40000025,1.225691744
85,Kenya,KEN,74.803,48.54693046,10.24938211,null,7.56088133
86,Kyrgyz,KGZ,64.415,55.19186653,6.653632256,30.90000057,3.446298227
87,Cambodia,KHM,79.486,32.85746658,23.12297001,null,55.73985951
