ID,CountryName,CountryID,PerRuralPop,PerAgLandArea,PerArabLandArea,AvePrecip_mmperyr,PerAgEmploy,PerForestLand
1,Afghanistan,AFG,73.718,58.06757957,11.93007179,327,null,2.067824648
2,Albania,ALB,43.591,43.33211679,22.60583942,1485,null,28.2620438
3,Algeria,DZA,29.871,17.39553436,3.149686084,89,10.80000019,0.811675498
4,AmericanSamoa,ASM,12.736,24.5,15,null,null,88.21666667
5,Andorra,AND,14.367,44.25531915,5.602836879,null,null,34.04255319
6,Angola,AGO,56.726,47.47734018,3.823427181,1010,null,46.70762814
210,Antarctica,ATA,null,null,null,null,null,null
7,AntiguaandBarbuda,ATG,75.81,20.45454545,9.090909091,1030,null,22.27272727
8,Argentina,ARG,8.396,54.51804918,14.40109524,591,0.5,10.23221483
9,Armenia,ARM,37.188,59.08324552,15.75693713,562,37.5,11.64032315
10,Aruba,ABW,58.221,11.11111111,11.11111111,null,0.600000024,2.333333333
11,Australia,AUS,10.711,51.62715593,6.118393363,534,2.800000032,16.11848014
12,Austria,AUT,34.081,38.22163793,16.43129419,1110,4.300000191,46.80787745
13,Azerbaijan,AZE,45.645,57.70454518,23.0176418,447,36.79999924,12.83282461
14,Bahamas,BHS,17.199,1.398601399,0.799200799,1292,3.700000048,51.44855145
15,Bahrain,BHR,11.281,11.16883117,2.080631233,83,null,0.723858063
16,Bangladesh,BGD,66.484,69.97003918,58.96391898,2666,null,11.03787355
17,Barbados,BRB,68.446,32.55813953,25.58139535,1422,2.933333317,14.65116279
18,Belarus,BLR,23.723,43.00428762,27.30997322,618,10.03333346,42.25420137
19,Belgium,BEL,2.182,44.13804491,26.88243065,847,1.100000024,22.52575958
20,Belize,BLZ,55.876,7.014467339,3.375712407,1705,null,60.5591115
21,Benin,BEN,56.486,33.25647393,23.58992551,1039,null,39.56190138
22,Bermuda,BMU,0,6,6,null,1.666666706,20
23,Bhutan,BTN,62.102,13.63171288,2.628748328,2200,59.53333282,71.49434635
24,Bolivia,BOL,31.893,34.77337764,3.938275024,1146,null,51.35327241
25,BosniaandHerzegovina,BIH,60.384,42.1484375,19.6484375,1028,null,42.67578125
26,Botswana,BWA,42.813,45.65489739,0.51817738,416,null,19.66827237
27,Brazil,BRA,14.567,33.35767288,8.809300474,1761,14.9333334,59.40197221
28,Brunei,BRN,23.113,2.732447818,0.82226439,2722,0.600000024,72.10626186
29,Bulgaria,BGR,26.374,46.01142225,30.84622943,608,6.900000095,34.74023581
30,BurkinaFaso,BFA,70.976,44.95614035,21.8079922,748,null,20.20979532
31,Burundi,BDI,88.239,79.16666667,42.83489097,1274,null,10.21028037
32,CaboVerde,CPV,35.16,20.84367246,13.23407775,228,null,21.59222498
33,Cambodia,KHM,79.486,32.85746658,23.12297001,1904,null,55.73985951
34,Cameroon,CMR,46.181,20.62575363,13.11586385,1604,null,41.20073618
35,Canada,CAN,18.35,7.175557073,4.941179662,537,2.099999905,38.18204412
36,CaymanIslands,CYM,0,11.25,0.833333333,null,0.633333335,52.91666667
37,CentralAfricanRepublic,CAF,60.241,8.154354875,2.889338342,1343,null,35.66214004
38,Chad,TCD,77.659,39.65613088,3.891359593,322,null,4.173125794
39,Chile,CHL,10.644,21.22437232,1.763376246,1522,9.999999682,22.63870284
40,China,CHN,45.59,54.80841877,11.29643692,645,2.5,21.69686003
41,Colombia,COL,23.839,40.39260928,1.455911071,3240,16.29999924,52.80025837
42,Comoros,COM,71.807,71.46695325,34.92745836,900,null,20.5265986
43,CongoDemRep.,COD,58.024,11.55686906,3.117119899,1543,null,67.71451887
44,CongoRep,COG,35.043,31.11859444,1.571498292,1646,null,65.53499268
45,CostaRica,CRI,24.085,35.58558559,4.543674109,2926,13.39999994,52.20133177
46,Coted'Ivoire,CIV,46.521,64.77987421,9.119496855,1348,null,32.71132075
47,Croatia,HRV,41.344,23.26483202,15.96080534,1113,8.699999809,34.32451751
48,Cuba,CUB,23.03,59.58064425,30.10167884,1335,19.20000013,28.55155191
49,Cyprus,CYP,32.981,11.7965368,8.98989899,498,3.900000095,18.69949495
50,CzechRepublic,CZE,26.981,54.62903017,40.87181306,677,2.700000048,34.45403664
51,Denmark,DNK,12.498,61.48951214,57.54261922,703,2.299999952,14.07353288
52,Djibouti,DJI,22.738,73.4253667,0.086281277,220,null,0.241587575
53,Dominica,DMA,30.744,33.33333333,8,2083,null,58.83555556
54,DominicanRepublic,DOM,21.939,48.67549669,16.55629139,1410,14.5,38.97764901
55,Ecuador,ECU,36.484,30.25446932,4.694261019,2274,27.13333257,51.47400279
56,Egypt,EGY,56.931,3.778190768,2.804426809,51,28.10000038,0.071525441
58,EquatorialGuinea,GNQ,60.244,10.12477718,4.278074866,2156,null,57.14081996
